"x","y1","y2"
942,150.210437606292,152.707500684913
943,150.250618952549,152.742669948612
944,150.287220047644,152.773362051416
945,150.320235699099,152.799581722802
946,150.349666381111,152.821340065509
947,150.375517232198,152.838653052135
948,150.397795804971,152.851540003788
949,150.416513882721,152.860024895943
950,150.431687948758,152.864136720908
951,150.443339054133,152.863909392285
952,150.451491260041,152.859379955896
953,150.456170587674,152.850587425407
954,150.457406779916,152.837575225227
955,150.455232823071,152.820389978138
956,150.44968483654,152.799082683936
957,150.440802298969,152.773709185018
958,150.428627622446,152.744328736639
959,150.413206241944,152.71100414589
960,150.394587722645,152.673802517317
961,150.372824444125,152.632794793076
962,150.347971791182,152.58805516622
963,150.320088376763,152.539661405355
964,150.289235157123,152.487694118313
965,150.2554751054,152.432236470337
966,150.218873421762,152.373373890073
967,150.179496604824,152.311192530339
968,150.137412705644,152.245780673262
969,150.092691655482,152.177229108075
970,150.045404286017,152.105628398084
971,149.995621547842,152.03106791764
972,149.943416130026,151.953639647636
973,149.888862509186,151.873438016627
974,149.832037211436,151.790560193734
975,149.773018294897,151.70510486862
976,149.711884959547,151.617171092892
977,149.648718531367,151.526858712447
978,149.583602027077,151.434268597026
979,149.516619747151,151.339502956921
980,149.447858198191,151.242665923933
981,149.377404652645,151.143861718577
982,149.305346001244,151.043193457228
983,149.231770424077,150.940765835594
984,149.156768140123,150.83668576307
985,149.08043018215,150.731060466704
986,149.002848432751,150.623998890508
987,148.924114890743,150.515611418298
988,148.844323166701,150.406010368098
989,148.763568396983,150.295308780624
990,148.681946721481,150.18362042387
991,148.599554207082,150.071058876771
992,148.516487244313,149.957737993396
993,148.432842381154,149.843771240067
994,148.348716379077,149.729271529426
995,148.264206584515,149.61435168618
996,148.179411580377,149.499125327036
997,148.094429999761,149.383705981079
998,148.009361375241,149.26820851713
999,147.924305557958,149.152747320759
1000,147.839362835276,149.037437177556
1001,147.754634643665,148.922394039917
1002,147.670222824793,148.807734136999
1003,147.586229109818,148.693573529971
1004,147.502755270714,148.580028479647
1005,147.419901818224,148.467213738277
1006,147.337766939158,148.355241228541
1007,147.256448174277,148.244221258513
1008,147.176042489221,148.134262079135
