lonnew,latnew
117.124,31.8516
117.1436,36.1942
117.16,31.9051
117.167,34.2761
117.196,31.7848
117.244,34.2911
117.25,31.8572
117.256,34.2153
117.259,31.8706
117.266,31.9438
117.2933,34.2778
117.302,31.7956
117.3065,32.8985
117.307,31.8766
117.336,31.8585
117.3536,32.9673
117.3575,32.9444
117.3961,32.939
117.4186,32.8913
117.4974,30.6539
117.6789,36.2289
117.7442,30.8811
117.7806,30.9414
117.8178,30.9414
117.8512,36.8041
117.9525,40.9843
117.9664,40.9161
118.0018,37.3617
118.0482,36.8088
118.1371,30.2756
118.1997,39.6295
118.293,33.9528
118.3057,29.7128
118.3092,36.8198
118.3094,32.3153
118.3236,29.7207
118.3244,32.2786
118.3528,31.3508
118.3667,31.3139
118.4022,31.3839
118.4828,31.6411
118.5019,37.4658
118.5058,31.6861
118.5106,31.7506
118.626,32.0878
118.6439,31.7133
118.7175,30.9431
118.7386,30.9742
118.749,32.0572
118.7581,30.9447
118.777,32.0144
118.795,32.0775
118.803,32.0314
118.803,32.1083
118.855,28.9745
119.007,33.575
119.0186,33.6297
119.036,33.5981
119.135,33.5039
119.146,31.955
119.176,34.5885
119.389,32.3761
119.43,32.1319
119.438,31.317
119.491,32.215
119.5259,39.8283
119.5369,39.9419
119.6023,39.9567
119.68,32.1883
119.686,29.1029
119.794,31.371
119.818,31.354
119.9,32.4867
119.914,28.4514
119.9167,31.9017
119.9219,32.4611
119.93,28.4586
119.935,31.7039
120.063,30.2747
120.07,30.8244
120.088,30.1808
120.118,33.4022
120.12,30.3119
120.156,33.3942
120.19,30.2692
120.211,30.21
120.225,33.3947
120.237,31.909
120.242,31.5031
120.27,30.1819
120.288,31.6842
120.348,30.3058
120.354,31.5475
120.354,31.5848
120.561,31.2472
120.596,31.3264
120.598,30.0911
120.605,29.9919
120.613,31.2703
120.634,28.0089
120.636,31.155
120.641,31.3708
120.669,31.3097
120.671,28.0167
120.677,27.9939
120.726,30.7478
120.744,30.7946
120.76,27.9747
120.81,32.0417
120.86,32.0005
120.87,32.02
120.913,31.96
120.94,31.93
120.978,31.0935
121.0986,41.0781
121.1178,41.1222
121.273,28.6459
121.4,31.238
121.412,31.1654
121.419,28.6542
121.425,31.2261
121.478,31.2036
121.524,29.8506
121.536,31.2659
121.56,29.8208
121.586,29.8633
121.6178,41.9967
121.633,29.7736
121.6592,42.0486
121.6972,42.0503
121.713,29.9572
121.836,29.9108
121.9462,46.0756
122.0247,41.1556
122.0506,46.0703
122.1658,40.6789
122.19,29.9944
122.2532,43.6801
122.3094,29.9558
122.8211,45.6175
122.9642,41.0971
123.0485,41.1442
123.3783,41.9228
123.3997,41.7972
123.478,41.7775
123.7117,41.8417
123.7153,42.2217
123.7528,41.3369
123.7669,41.2864
123.8142,41.3472
